month, AverageMonthTemperature
1949-01,13
1949-02,14
1949-03,16
1949-04,20
1949-05,21
1949-06,26
1949-07,31
1949-08,34
1949-09,26
1949-10,25
1949-11,18
1949-12,12
1950-01,11
1950-02,14
1950-03,54
1950-04,17
1950-05,21
1950-06,67
1950-07,76
1950-08,30
1950-09,27
1950-10,20
1950-11,19
1950-12,12
1951-01,11
1951-02,12
1951-03,17
1951-04,18
1951-05,18
1951-06,30
1951-07,28
1951-08,29
1951-09,27
1951-10,19
1951-11,16
1951-12,13
1952-01,11
1952-02,13
1952-03,19
1952-04,17
1952-05,21
1952-06,27
1952-07,29
1952-08,30
1952-09,25
1952-10,24
1952-11,18
1952-12,13
1957-01,7
1957-02,11
1957-03,14
1957-04,14
1957-05,18
1957-06,21
1957-07,27
1957-08,27
1957-09,25
1957-10,17
1957-11,12
1957-12,8
1958-01,11
1958-02,15
1958-03,16
1958-04,17
1958-05,23
1958-06,24
1958-07,28
1958-08,30
1958-09,28
1958-10,23
1958-11,16
1958-12,11
1959-01,11
1959-02,9
1959-03,13
1959-04,15
1959-05,17
1959-06,21
1959-07,26
1959-08,26
1959-09,22
1959-10,19
1959-11,12
1959-12,10
1960-01,10
1960-02,13
1960-03,13
1960-04,15
1960-05,19
1960-06,25
1960-07,27
1960-08,27
1960-09,24
1960-10,20
1960-11,17
1960-12,12
1961-01,8
1961-02,14
1961-03,16
