month, AverageMonthTemperature
1949-01-01,13
1949-02-01,14
1949-03-01,16
1949-04-01,20
1949-05-01,21
1949-06-01,26
1949-07-01,31
1949-08-01,34
1949-09-01,26
1949-10-01,25
1949-11-01,18
1949-12-01,12
1950-01-01,11
1950-02-01,14
1950-03-01,54
1950-04-01,17
1950-05-01,21
1950-06-01,67
1950-07-01,76
1950-08-01,30
1950-09-01,27
1950-10-01,20
1950-11-01,19
1950-12-01,12
1951-01-01,11
1951-02-01,12
1951-03-01,17
1951-04-01,18
1951-05-01,18
1951-06-01,30
1951-07-01,28
1951-08-01,29
1951-09-01,27
1951-10-01,19
1951-11-01,16
1951-12-01,13
1952-01-01,11
1952-02-01,13
1952-03-01,19
1952-04-01,17
1952-05-01,21
1952-06-01,27
1952-07-01,29
1952-08-01,30
1952-09-01,25
1952-10-01,24
1952-11-01,18
1952-12-01,13
1957-01-01,7
1957-02-01,11
1957-03-01,14
1957-04-01,14
1957-05-01,18
1957-06-01,21
1957-07-01,27
1957-08-01,27
1957-09-01,25
1957-10-01,17
1957-11-01,12
1957-12-01,8
1958-01-01,11
1958-02-01,15
1958-03-01,16
1958-04-01,17
1958-05-01,23
1958-06-01,24
1958-07-01,28
1958-08-01,30
1958-09-01,28
1958-10-01,23
1958-11-01,16
1958-12-01,11
1959-01-01,11
1959-02-01,9
1959-03-01,13
1959-04-01,15
1959-05-01,17
1959-06-01,21
1959-07-01,26
1959-08-01,26
1959-09-01,22
1959-10-01,19
1959-11-01,12
1959-12-01,10
1960-01-01,10
1960-02-01,13
1960-03-01,13
1960-04-01,15
1960-05-01,19
1960-06-01,25
1960-07-01,27
1960-08-01,27
1960-09-01,24
1960-10-01,20
1960-11-01,17
1960-12-01,12
1961-01-01,8
1961-02-01,14
1961-03-01,16
